student_id,event_type,registration_days_before,previous_events_registered,previous_events_attended,club_member,event_day,event_time,travel_distance_km,attended
S1017,Hackathon,14,2,1,No,Wednesday,16:00,4.9,1
S1471,Workshop,7,6,5,Yes,Sunday,11:00,1.9,1
S1362,,3,3,2,Yes,Wednesday,16:00,12,0
S1004,Talk,1,6,3,Yes,Monday,16:00,2.9,1
S1361,Hackathon,10,3,1,Yes,Wednesday,18:00,1.7,1
S1421,Competition,11,7,5,Yes,Thursday,16:00,0.8,1
S1061,Hackathon,13,5,3,No,Friday,11:00,3,1
S1111,Hackathon,2,2,2,Yes,Tuesday,18:00,7.8,1
S1323,Talk,8,5,3,Yes,Sunday,11:00,10.9,1
S1267,Competition,11,8,7,Yes,Tuesday,18:00,1.8,1
S1030,Workshop,14,2,2,Yes,Saturday,11:00,13.1,1
S1481,Talk,6,6,4,Yes,Monday,14:00,18.8,0
S1174,Workshop,0,5,4,Yes,Friday,16:00,5.1,0
S1027,Workshop,9,3,2,Yes,Friday,9:00,9.4,1
S1008,Social,9,6,2,Yes,Friday,11:00,3.1,0
S1461,Workshop,6,7,7,No,Sunday,11:00,10.9,0
S1109,Workshop,11,4,4,Yes,Friday,16:00,1.5,1
S1038,Workshop,1,7,4,No,Sunday,16:00,6,0
S1158,Competition,11,5,3,Yes,Wednesday,18:00,4.8,1
S1475,Talk,14,3,2,Yes,Saturday,16:00,9.3,1
S1119,Social,8,4,4,No,Tuesday,9:00,3,0
S1115,Talk,7,6,4,No,Saturday,18:00,6.4,1
S1176,Workshop,5,5,4,No,Wednesday,14:00,4.8,1
S1266,Competition,2,3,2,Yes,Thursday,14:00,9.5,1
S1415,Talk,13,5,2,No,Friday,9:00,3.1,1
S1145,Hackathon,1,1,1,Yes,Monday,11:00,1.3,0
S1375,,6,5,4,Yes,Monday,9:00,12.7,1
S1441,Workshop,9,5,2,Yes,Sunday,18:00,10.9,1
S1204,Social,6,2,1,Yes,Saturday,14:00,3.1,
S1223,Workshop,9,5,4,Yes,Tuesday,18:00,6.3,0
S1226,Workshop,4,3,3,No,Saturday,18:00,5.3,1
S1453,Hackathon,10,3,2,Yes,Tuesday,16:00,4.4,1
S1142,Workshop,4,4,2,Yes,,16:00,10,0
S1371,Workshop,9,5,2,Yes,Tuesday,11:00,8.1,1
S1068,Competition,,4,4,Yes,Wednesday,14:00,3.3,1
S1219,Talk,1,2,2,No,Sunday,18:00,1.1,1
S1169,Workshop,13,2,1,No,Wednesday,11:00,8.2,1
S1425,Workshop,4,4,2,Yes,Monday,14:00,9.1,1
S1382,Competition,45,3,3,Yes,Sunday,9:00,7.4,0
S1221,Talk,7,6,1,Yes,Saturday,14:00,7.6,1
S1194,Talk,7,2,2,Yes,Monday,14:00,1.9,1
S1272,Competition,3,8,7,Yes,Sunday,11:00,9.1,1
S1110,Workshop,11,4,3,Yes,Saturday,18:00,8.9,1
S1358,Talk,2,5,4,No,Sunday,9:00,12.8,0
S1146,Workshop,0,1,1,Yes,Thursday,14:00,5.6,1
S1093,Competition,7,5,4,Yes,Tuesday,18:00,4,0
S1153,Workshop,1,3,3,No,Friday,14:00,6.1,1
S1228,Hackathon,3,2,1,No,Friday,16:00,1.8,0
S1239,Talk,14,4,3,Yes,Sunday,14:00,2.5,1
S1084,Workshop,6,0,0,Yes,Sunday,14:00,13.9,0
S1254,Hackathon,4,3,1,No,Monday,16:00,2.7,
S1166,Competition,12,3,1,No,Thursday,9:00,5,1
S1164,Talk,14,2,1,Yes,Wednesday,14:00,3.7,1
S1200,Competition,10,4,3,Yes,Tuesday,18:00,10.6,1
S1341,Talk,12,5,4,Yes,Tuesday,14:00,6.2,1
S1075,Competition,11,6,5,No,Wednesday,14:00,12.8,1
S1313,Workshop,10,2,1,Yes,Sunday,11:00,1.7,1
S1245,Workshop,14,1,1,Yes,Wednesday,14:00,16.4,1
S1478,Talk,6,6,4,No,Friday,11:00,2.4,1
S1120,Talk,4,5,2,Yes,Tuesday,16:00,5.5,1
S1457,Workshop,6,4,2,No,Friday,16:00,,1
S1413,Social,0,6,5,Yes,Friday,14:00,3.8,1
S1263,Workshop,5,5,3,No,Friday,16:00,2.7,1
S1359,Social,10,0,0,Yes,Thursday,18:00,8.3,1
S1406,Social,11,5,3,Yes,Wednesday,18:00,5.7,1
S1306,Social,14,9,7,Yes,Saturday,16:00,1.1,1
S1423,Workshop,12,2,2,Yes,Friday,9:00,4.2,1
S1332,Competition,7,4,3,Yes,Tuesday,14:00,1.9,0
S1389,Competition,13,2,1,No,Friday,11:00,3.1,1
S1278,Talk,6,2,2,No,Monday,9:00,0.5,0
S1037,Hackathon,13,3,2,No,Tuesday,11:00,3.5,0
S1197,Competition,11,5,4,Yes,Friday,11:00,4.8,1
S1140,Social,2,4,6,Yes,Friday,18:00,4.5,0
S1370,Workshop,8,4,3,Yes,Thursday,11:00,4.3,1
S1474,Social,3,3,2,No,Thursday,16:00,,1
S1381,Workshop,5,7,4,Yes,Wednesday,18:00,,1
S1290,Talk,1,4,3,No,Friday,11:00,2.3,1
S1060,Hackathon,3,6,3,Yes,Wednesday,11:00,3,1
S1112,Workshop,4,2,1,No,Wednesday,16:00,4.4,1
S1090,Talk,7,6,5,No,Saturday,9:00,4.6,0
S1297,Competition,11,3,1,Yes,Friday,9:00,25,1
S1007,Workshop,12,5,3,Yes,Thursday,14:00,6.5,1
S1366,Hackathon,4,5,2,No,Tuesday,16:00,21.5,0
S1350,Talk,11,5,5,No,Sunday,9:00,3.1,0
S1343,Workshop,9,5,3,Yes,Thursday,18:00,10.2,1
S1159,Workshop,3,7,7,Yes,Sunday,14:00,13.7,0
S1151,Social,10,7,5,No,Friday,,12.7,1
S1178,Hackathon,7,5,4,Yes,Friday,14:00,3.4,1
S1400,Competition,13,6,4,No,Wednesday,9:00,10.5,1
S1185,Workshop,7,3,2,No,Friday,18:00,7.1,1
S1287,Talk,9,4,3,No,Tuesday,16:00,4.1,1
S1011,Workshop,9,3,2,Yes,Friday,16:00,10,1
S1387,Hackathon,13,5,4,No,Sunday,16:00,6.6,1
S1104,Talk,2,8,6,Yes,Sunday,16:00,10.5,0
S1082,Talk,1,5,5,Yes,Tuesday,16:00,11.6,0
S1039,Competition,4,5,2,Yes,Monday,14:00,3.5,0
S1319,Workshop,13,2,2,No,Thursday,18:00,5.2,1
S1199,Social,8,3,2,No,Monday,18:00,3.8,0
S1262,Social,6,3,2,Yes,Monday,14:00,7.1,0
S1147,Talk,7,6,2,Yes,Thursday,14:00,3.1,0
S1399,Competition,0,2,1,Yes,Thursday,11:00,1.9,1
S1148,Talk,2,2,2,Yes,Friday,16:00,9.1,0
S1311,Hackathon,11,6,4,No,Wednesday,14:00,16.1,0
S1291,Workshop,8,9,8,No,Saturday,18:00,10.8,0
S1124,Workshop,,9,1,Yes,Wednesday,18:00,1.9,0
S1374,Competition,7,7,4,Yes,Thursday,18:00,9.2,1
S1097,Talk,1,3,2,Yes,Thursday,18:00,5.6,0
S1144,Hackathon,9,4,3,Yes,Tuesday,14:00,5.6,0
S1240,Workshop,9,4,2,,Thursday,14:00,1,1
S1479,Social,3,5,4,Yes,Wednesday,11:00,6.2,1
S1098,Hackathon,6,6,4,No,Friday,18:00,2.9,1
S1355,Workshop,14,5,2,Yes,Friday,9:00,9.1,1
S1123,Hackathon,14,6,4,Yes,Sunday,11:00,5.4,1
S1184,Social,7,4,4,Yes,Saturday,9:00,6,1
S1203,Workshop,11,6,5,No,Monday,14:00,6.7,1
S1247,Hackathon,11,5,3,YES,Sunday,16:00,2.2,1
S1422,Competition,0,,,No,Monday,14:00,10.1,0
S1303,Talk,10,5,4,Yes,Wednesday,16:00,12.4,1
S1356,Talk,7,4,3,No,Saturday,18:00,4.5,1
S1305,Competition,9,0,0,Yes,Saturday,18:00,2.2,1
S1435,Workshop,0,5,3,Yes,Sunday,18:00,2.3,1
S1288,Talk,8,3,2,Yes,Wednesday,9:00,7.8,1
S1126,Hackathon,4,7,5,No,Sunday,16:00,11.5,0
S1455,Workshop,5,4,2,Yes,Sunday,18:00,1.1,1
S1224,Hackathon,5,4,2,No,Thursday,18:00,7.3,0
S1425,Workshop,4,4,2,Yes,Monday,14:00,9.1,1
S1220,Competition,11,8,7,No,Sunday,16:00,4.9,0
S1130,Talk,1,2,1,No,Saturday,18:00,9.7,1
S1427,Hackathon,4,4,4,Yes,,11:00,,0
S1403,Talk,5,3,2,Yes,Saturday,14:00,4.6,1
S1333,Workshop,11,5,4,Yes,Sunday,16:00,4.5,1
S1383,Talk,1,6,5,No,Saturday,18:00,6.7,
S1408,Workshop,1,4,3,No,Friday,18:00,5,0
S1477,Workshop,10,4,3,No,Tuesday,16:00,7.1,0
S1299,Talk,2,7,,Yes,Saturday,11:00,13.2,1
S1295,Workshop,3,7,6,No,Friday,,9.2,1
S1372,Workshop,1,5,4,No,Friday,14:00,2.8,0
S1391,Social,1,6,5,Yes,Thursday,9:00,0.9,1
S1113,Social,6,3,3,No,Wednesday,18:00,4.9,1
S1180,Workshop,,3,2,No,Tuesday,18:00,1.2,1
S1312,Workshop,4,2,2,Yes,Wednesday,18:00,2.5,1
S1437,Workshop,8,3,2,Yes,Monday,18:00,10.7,1
S1335,Workshop,10,2,2,Yes,Tuesday,9:00,1.4,1
S1490,Social,6,5,5,Yes,Sunday,,10.2,0
S1365,Social,7,6,8,Yes,Tuesday,18:00,25,1
S1234,Talk,1,4,4,Yes,Wednesday,16:00,5,1
S1447,Social,11,1,1,Yes,Wednesday,18:00,2,0
S1165,Workshop,6,2,1,Yes,Saturday,16:00,4.2,1
S1137,Talk,7,5,3,Yes,Wednesday,18:00,16.5,1
S1198,Social,11,3,2,No,,18:00,1.2,1
S1259,Talk,1,3,2,No,Saturday,14:00,4.9,1
S1233,Talk,0,2,1,No,Sunday,9:00,2.9,0
S1116,Social,11,,3,No,Thursday,11:00,4.1,0
S1121,Competition,9,1,1,Yes,Tuesday,16:00,5.3,1
S1354,Workshop,11,3,2,Yes,Saturday,18:00,8.4,1
S1225,Workshop,12,1,1,No,,16:00,35.5,1
S1409,Social,14,2,2,No,Saturday,18:00,13,1
S1342,Talk,0,6,4,,,9:00,18.1,0
S1128,Social,3,1,0,Yes,Thursday,16:00,3.9,1
S1286,Workshop,2,6,3,Yes,Tuesday,14:00,2.3,1
S1418,Hackathon,12,4,2,Yes,Saturday,16:00,8.7,0
S1108,Competition,14,2,1,No,Friday,16:00,7,0
S1376,Hackathon,2,3,2,No,Sunday,16:00,5.8,0
S1330,Workshop,10,3,3,Yes,Saturday,18:00,120,1
S1134,Hackathon,3,4,3,Yes,Saturday,14:00,8.1,0
S1369,Workshop,7,3,3,Yes,Tuesday,11:00,9.7,1
S1045,Workshop,3,5,4,No,Monday,14:00,0.6,1
S1469,Workshop,13,4,3,No,Friday,18:00,7.4,1
S1066,Talk,14,4,1,Yes,Tuesday,16:00,3.2,1
S1284,Workshop,1,2,2,No,Saturday,9:00,7.8,0
S1086,Hackathon,9,4,2,No,Tuesday,14:00,11.1,1
S1243,Social,1,4,3,Yes,Tuesday,11:00,8.8,0
S1187,Competition,1,3,2,Yes,Monday,18:00,9.1,1
S1426,Talk,9,0,0,Yes,Tuesday,18:00,0.8,1
S1160,Competition,11,1,1,No,Monday,18:00,2,0
S1013,Competition,6,4,2,No,Wednesday,,8.9,0
S1036,Competition,1,5,4,No,Friday,14:00,10.5,0
S1029,Talk,12,5,2,,Monday,18:00,11.7,1
S1171,Talk,13,4,2,No,Wednesday,11:00,9.9,1
S1143,Talk,4,1,1,No,Monday,18:00,6.7,0
S1405,Hackathon,10,1,1,Yes,Friday,18:00,9.8,1
S1347,Talk,7,4,3,Yes,Thursday,16:00,4.5,1
S1222,Talk,7,3,2,Yes,Saturday,9:00,1.9,1
S1096,Talk,4,4,2,Yes,Saturday,18:00,2.1,1
S1052,Competition,11,5,1,Yes,Sunday,9:00,3.4,0
S1241,Social,8,6,2,Yes,Friday,11:00,6.9,1
S1378,,6,4,2,Yes,Monday,18:00,1.8,1
S1385,Competition,2,4,1,Yes,Wednesday,18:00,5.1,0
S1179,Social,5,2,1,Yes,Friday,14:00,5.9,1
S1042,Talk,11,5,2,Yes,Wednesday,18:00,0.5,1
S1443,Hackathon,0,2,,Yes,Saturday,9:00,1.7,1
S1394,Competition,10,10,8,Yes,Saturday,9:00,3,1
S1207,Workshop,1,4,4,Yes,Wednesday,16:00,25,0
S1283,workshop,13,4,3,Yes,Friday,14:00,6,1
S1255,Workshop,1,0,0,No,Monday,14:00,,1
S1419,Talk,8,8,4,Yes,Tuesday,14:00,1.5,1
S1005,Workshop,14,8,6,Yes,Monday,18:00,6.9,1
S1257,Social,60,2,2,Yes,Saturday,14:00,1.9,0
S1456,workshop,3,,5,Yes,Sunday,16:00,5.3,1
S1101,Workshop,13,4,3,Yes,Wednesday,11:00,4.2,0
S1227,Social,7,4,1,Yes,Tuesday,16:00,12,0
S1434,Workshop,12,1,1,No,Sunday,14:00,5,0
S1214,Workshop,9,1,1,Yes,Monday,9:00,9.9,1
S1429,Hackathon,9,6,2,No,Wednesday,11:00,,0
S1172,Workshop,11,6,5,Yes,Friday,16:00,1,1
S1099,Workshop,13,4,3,Yes,Saturday,14:00,9.8,1
S1293,Competition,9,3,2,No,Monday,16:00,6.7,1
S1216,Workshop,10,5,4,Yes,Friday,14:00,15,1
S1062,Workshop,6,3,1,No,Sunday,11:00,16.7,1
S1048,Talk,5,6,3,Yes,Wednesday,14:00,1.6,0
S1033,Workshop,8,5,4,Yes,Sunday,11:00,2.8,1
S1268,Competition,14,,2,No,Wednesday,14:00,1.2,1
S1328,Talk,5,2,1,No,Saturday,14:00,16.2,1
S1201,Talk,11,2,1,Yes,Monday,11:00,3.3,1
S1454,Social,13,3,2,No,Thursday,11:00,3.9,0
S1028,Talk,7,,0,Yes,Sunday,18:00,18.4,0
S1396,Social,6,5,3,Yes,Wednesday,9:00,2.8,0
S1231,Competition,4,5,4,Yes,Wednesday,16:00,6.7,1
S1261,Talk,8,3,2,Yes,Monday,18:00,6.5,1
S1379,Competition,14,6,4,,Monday,18:00,3.3,1
S1289,Hackathon,2,3,2,Yes,Wednesday,14:00,6.3,0
S1163,Talk,1,4,3,Yes,Sunday,14:00,6.2,1
S1432,Competition,2,5,3,No,Monday,9:00,11.1,0
S1139,Hackathon,8,6,5,Yes,Friday,18:00,1.1,1
S1063,Competition,2,4,1,Yes,Friday,14:00,9.9,0
S1136,Hackathon,13,3,3,Yes,Tuesday,14:00,4.1,1
S1129,Workshop,11,1,1,Yes,Monday,14:00,10.5,1
S1485,Talk,7,2,1,Yes,Sunday,11:00,5.3,0
S1009,Talk,8,1,1,Yes,,14:00,1.7,1
S1327,Talk,11,8,7,Yes,Saturday,11:00,6.3,0
S1472,Social,2,,1,No,Monday,14:00,2.8,0
S1065,Hackathon,14,5,4,Yes,Friday,14:00,6.1,1
S1301,Workshop,-1,6,3,Yes,Thursday,18:00,4.3,1
S1015,Workshop,14,5,5,Yes,Saturday,11:00,2.5,1
S1157,Talk,2,2,1,No,Wednesday,16:00,3.1,0
S1041,Workshop,8,5,6,Yes,Wednesday,11:00,4.5,1
S1380,Hackathon,4,5,4,No,Monday,14:00,5.1,0
S1468,Social,12,3,2,Yes,Friday,11:00,4,1
S1410,Workshop,11,7,4,No,Thursday,11:00,20.4,0
S1217,Hackathon,1,6,3,No,Thursday,18:00,2.8,0
S1280,Competition,6,5,1,No,Wednesday,14:00,0.8,0
S1442,Social,8,6,4,Yes,Tuesday,18:00,1.9,1
S1438,Competition,14,5,4,Yes,Monday,18:00,8.8,1
S1338,Competition,8,3,3,Yes,Thursday,14:00,3.5,1
S1237,Hackathon,6,6,3,No,Saturday,18:00,8.4,1
S1208,Talk,10,5,3,Yes,Sunday,16:00,3.6,1
S1213,Talk,12,6,,Yes,Monday,18:00,6.8,1
S1296,Talk,13,6,5,Yes,Saturday,9:00,3.3,1
S1465,Social,7,2,1,Yes,Saturday,14:00,16.4,1
S1252,Hackathon,14,5,1,No,Tuesday,16:00,2.7,1
S1497,Talk,13,3,2,No,Friday,11:00,3.1,1
S1466,Hackathon,5,6,3,No,Monday,9:00,2.3,0
S1304,Talk,7,1,1,Yes,Saturday,18:00,5.6,1
S1351,Talk,0,7,3,Yes,Monday,16:00,3.8,0
S1270,Hackathon,9,2,1,No,Friday,18:00,60.5,1
S1202,Workshop,7,6,4,No,Sunday,16:00,0.9,0
S1162,Talk,1,6,5,No,Sunday,9:00,6.9,0
S1044,Social,7,6,3,No,Friday,9:00,8.5,0
S1218,Competition,13,4,3,Yes,Sunday,18:00,4.4,1
S1402,Social,7,3,3,No,Monday,18:00,2.9,0
S1191,Workshop,10,5,4,Yes,Tuesday,14:00,8,1
S1310,Workshop,14,3,1,Yes,Sunday,9:00,3.7,1
S1260,Workshop,11,5,3,Yes,Thursday,16:00,5,1
S1106,Workshop,2,4,4,No,Sunday,16:00,7.9,1
S1054,Social,10,6,5,Yes,Thursday,11:00,14.9,0
S1390,Competition,7,5,4,No,Saturday,11:00,,0
S1002,Social,5,4,3,No,Sunday,16:00,4.6,0
S1449,Hackathon,8,4,2,No,Saturday,14:00,0.9,0
S1491,Hackathon,11,1,0,Yes,Friday,16:00,8.8,1
S1050,Workshop,13,3,0,Yes,Monday,18:00,13.6,1
S1420,Competition,0,2,1,No,Saturday,16:00,4.2,0
S1081,Social,5,3,2,Yes,Monday,11:00,9.2,0
S1206,Workshop,4,5,4,yes,Saturday,14:00,1.3,1
